iter	Passed	Remaining
375	1618	2685
376	1623	2683
377	1626	2675
378	1628	2668
379	1630	2660
380	1633	2653
381	1639	2652
382	1641	2644
383	1643	2635
384	1644	2627
385	1647	2620
386	1649	2612
387	1656	2612
388	1660	2607
389	1662	2600
390	1664	2593
391	1670	2590
392	1672	2582
393	1674	2575
394	1676	2568
395	1687	2573
396	1689	2565
397	1692	2559
398	1695	2554
399	1703	2555
400	1707	2551
401	1709	2543
402	1711	2535
403	1717	2533
404	1719	2525
405	1722	2519
406	1724	2512
407	1726	2505
408	1728	2498
409	1734	2495
410	1735	2487
411	1737	2479
412	1739	2472
413	1741	2464
414	1742	2456
415	1748	2454
416	1749	2446
417	1751	2438
418	1753	2431
419	1755	2423
420	1756	2416
421	1765	2417
422	1766	2409
423	1768	2402
